,App name,Version,Review,Description,Not available anymore,Category,Paid app,Non English,Not MSM social media dating app ,Not for NZ users,None Target MSM,Unnamed: 11,Unnamed: 12
6,🍆🍑 Gay Radar Live Video Dating Chat - Chance,1.1.17,887.0,"Gay & bi, bears & twinks, all are here!
Safe. Free. Instant dates.

DATES. Cut to the chase! Guys nearby want to go out. Just set “Ready to date” mode and meet them up tonight.
PRIVATE. Text that pretty guy! Frisky stickers, photos and videos are here for you.
DARKROOMS. Discuss hot LGBT news, local gay scene events, relationships and more in group chats.
100% CONFIDENTIAL. No third party has access to your personal data.

Use your Chance to find you an awesome guy!",,Dating,,,,,y,,
8,"💜 Female Gay Dating, Lesbian Chat - Wonder",1.0.47,1128.0,"WONDER is the brand new and safe way for girls to meet other girls.

UNIQUE PROFILES. Open up your individuality

GREAT FILTERS. Find your favourite type of girl and get to know her

TRANS-positive!

100% ANONYMOUS. No access to your social accounts.

JOIN LGBTQ community and meet your dream girl in Wonder!

Interested to learn more? Please, check the following links:
Terms of Service: https://wonderapp.io/terms/
Privacy Policy: https://wonderapp.io/privacy/

Follow our pages:
Facebook: @wonderdating
VK: @wonderapp",,Dating,,,,,n,Lesbian,
12,3Fun - Threesome Dating for Couples & Singles,2.7.2,30986.0,"3Fun is the Largest Dating Community for threesome Lovers and Swingers!

- Privacy Protection: You can just upload a photo to your private album. Only your matches can see your hot private photos!

- Photo Verification: With our verification system, we make sure the people you date with look like their profile photos!

- Free Messages: Send Unlimited private messages with your matches for FREE!

- Chat synchronously with one account!

Whether you are a gay, lesbian, bisexual, pansexual, polysexual, queer or transgender, we've got you covered!

Any porn, nude content is not allowed.

Are you ready? Go 3Fun now!
Any questions, contact Support@Go3fun.co

Top cities where 3Fun used the most in the US: New York, Los Angeles, Chicago, Houston, Phoenix, San Antonio, San Diego, Philadelphia, Dallas, San Jose, San Francisco, Las Vegas, Washington, D. C.

- Privacy: https://go3fun.co/privacy_policy
- Terms: https://go3fun.co/terms_of_use
- You must be at least 18 years of age to access and use 3Fun.",,Dating,,,,,y,"Whether you are a gay, lesbian, bisexual, pansexual, polysexual, queer or transgender, we've got you covered!",
14,3rd: Threesome Dating App for Swingers and Couples,1.1.0,432.0,"3rd is a premium and secure threesome dating app for open-minded singles or couples who are looking for match, chat and meet up.

This is an open hookup dating platform, from open-minded couples to curious singles, from straight to gay, lesbian, bisexual, queer or transgender, it is open to everyone who are looking to explore their 3some dating desires and swing fetlife style in a safe and private space.

If you are looking for local kinky bisexual swingers or couples to improve your alternative lifestyle, 3rd is the right private place for you.

3rd Features:

Search - Filter couples and singles by location, distance, age, etc.
Match - Find a match by like and dislike
Moments - Share stories, threesome dating experiences and swing life

Now join us and create your profile for free to find a partner who are into threesome and swing lifestyle.",,Social,,,,,y,"from straight to gay, lesbian, bisexual, queer or transgender",
15,3Some - Couples & Singles Seeking Threesome Dates,1.0.4,24.0,"3Some brings together open-minded couples and singles who are into threesome lifestyle. Join for free to meet local people now!

Other features:
. Bookmark profiles
. See who viewed your profile
. See compatible members
. See hot members and add your profile to hot list
. Browse profiles and show interests with one tap
. Search profiles by distance, age range, online only, with photo, and username
. Send, read and reply to messages

Subscription Prices**
1 month subscription with auto renewal: $9.99
3 month subscription: $19.99
6 month subscription: $29.99

**Prices are in U.S. dollars, may vary in countries other than the U.S. and are subject to change without notice.

DISCLAIMER
*No porn, adult or children photos are allowed
*18+ years old is allowed to join
*Privacy Policy - https://www.seekingthreesome.com/privacy
*Service Agreement - https://www.seekingthreesome.com/terms-of-use
",,Lifestyle,,,,,y,,
16,3some Dating App: Threesome Hookup & Couples Date,1.0.01,166.0,"3some is one of the best threesome dating and bisexual hookup apps that are dedicated to helping open-minded singles and married couples find local three way partners. The 3some app is more than a three-way dating club or 3 fun hookup app for single women, men, and couples, it provides a way of swing lifestyle for adult three way friend finder, bisexual women & men, and all kinky people.

As one of the best hookup apps & online dating sites for MMF and FFM threesome partners, 3some app provides a new way for single women looking for kinky couples, and open-minded bi women and couples seeking a single girl. No matter if you are a bisexual woman, a gay man, a kink single, and even a married couple, 3some app is now prepared to help you find exactly what you are looking for. Although 3some app is one of the most professional three way dating apps for adult friend hookups and bisexual singles, bbw women, lesbian women, gay men and even transgender women are all welcome to join the threesome club.

On 3some app, all users can browse local singles & couples anonymously. You can like or dislike recommended profiles with attractive photos instantly as long as any new people join our threesome app. We offer the most valuable features in its free base download. Not only can you actually see who likes your profile and chat unlimitedly, but you can browse, add photos, and set location boundaries so your neighbors don’t find your account.

How to use 3some:
1. Place your dating profile with photos in three easy steps.
2. Create a threesome date that allows local hookup to join your date plan.
3. Share your swing lifestyle with others.
4. Search and meet up with nice bi cupid and hookups you are looking for.
5. Invite others to your date and enjoy a threesome with him or her.
",,Dating,,,,,y,bisexual,
18,3Somer: Threesome Dating App for Couples Dating,1.4.2,1190.0,"🔥3somer is a safe threesome dating app for open-minded couples and singles.🔥

If you are looking for the best couples dating apps or sites, our dating app could be your choice! As a dating app for singles and couples who are interested in the threesome lifestyle, 3somer is dedicated to helping them find their partners nearby in a fast and easy way. Our app is also a friend finder app. Here you can find local dates, romance, and marriage in your area. Whether you are lesbian, gay, bisexual, or transgender, our community can help you meet like-minded people.

3somer provides users with the following main features:

😍1, Search - Set up your searching criteria and find unicorns near you. You can search for guys and girls not only from English-speaking countries like the U.S., UK, Canada, and Australia but also from countries like Germany, Brazil, and Singapore. Also, we are a non-judgmental threesome dating community. Whether you are black or Asian, you will feel welcomed.
😍2, Reversed search - This feature shows people who are looking for users like you.
😍3, Show - You can share photos of your lifestyle to let others know more about you

It's FREE to download our android app. Join us now and chat with people from all over the world.

Warning:
Please note that 3somer is only for 18+ adults. You must be at least 18 years old to join us!
",,Social,,,,,y,"lesbian, gay, bisexual, or transgender, our community can help you meet like-minded people.",
19,3Somes - Pure Threesome Swingers Dating for 3Fun,2.0(05081337),102.0,"3somes is the best place for anyone who is looking to interact with couples and feeld singles for some threesome fun. This site will help you fulfill your threesome fantasies with other like-minded people who want what you want, no strings attached 3fun or have an affair. Joining is free and once registered, you can instantly connect with couples and other singles looking for threesomes.

As soon as you join 3somes, you can send messages to other users, upload pictures, and browse. Whether you’re looking to join a couple or couple swap, this app will let you explore FMF and MMF threesomes in your area with people who are open to almost anything.

The main features of the app

• Recommended members: You can see members based on your preference.
• Browse: You can look for members you want to interact with based on location, age, ethnicity, and more.
• Chat: Communicate with other users by sending them a voice message and a small video.
• Private photo album: You can set your photo albums to private so that only people you authorize can view your images.
• Verify photo: This app verifies the identity of their users to ensure that there’s fewer fakes or spammers on the platform.
• Verified member perks: Verified members can send 1 free message to 5 members every day

Cupid’s Arrow Game

From the top of your screen, you will see scammers’ barriers and fake profiles floating around including heart shapes (normal profiles). Members can score points by dragging the armor arrow to shoot the barriers, fake profiles, and scammers

The game is over when members hit normal profiles or if the armor arrow hits one of the barriers. Heart shape members can be caught by using the Cupid arrow. One game only has 15 heart shapes and members will see no more heart shapes after that.

Members still can shoot the barriers to get their score up. During the game, players will also notice the barriers closing in on them increasing the difficulty of the game.

You can see your game score and the members who were caught by you, then you can send a message to them. You can also use your points earned in-game for membership perks. Standard member can play this game 3 times a day, 6 times per day for verified members. There's no limitation for Gold members.

Membership programs

For premium members, we have two types of programs which are basic gold member and standard gold member.

• Basic members are unable to see who has liked them but can enjoy all other advanced features.
• Premium members on the other hand cam pick from 4 packages which include one week, one month, three months, and six months. One week paid membership will give you basic gold membership perks while other packages will give you standard gold membership perks.

3somes app is open to all, no matter you are a gay, lesbian, bisexual, pansexual, polysexual, queer or transgender, you are welcomed here!

You must be at least 18 years of age to access and use 3somes app.

All personal data is handled under the Terms and Conditions of 3somes Privacy Policy. More details can be found here:
https://3somes.app/3somes/privacy_policy.html",,Dating,,,,,y,,
20,9monsters - Gay Chat & Dating,3.12.4,3890.0,"9monsters is a very unique gay social app originating in Japan with a central focus on the Asia-Pacific.
Mainly, This app has 3 key features which are all exclusive functionality!

【FEATURES】
-Feature1 : Breeding system!

""Breeding"" is very simple social communication!
If you find a guy you are interested in, simply select the button ""Breeding"" from the menu button located upper right corner of home. then , Breeding allows you to find:

1.Your type
2.Which category/monster other users think you belong to
3.Who likes you

Each user can enjoy meeting people through this revolutionary ""breeding"" automatically!

-Feature2 : Auto translate messaging.

Do you sometimes find difficulty communicating with people from different countries?
you don't have to worry about that any more!
Depending on who you are speaking to, your messages will be automatically translated as you send them.

-Feature3 : Spot Jump

For Example, When you planning a trip, Do you sometime want to make friend or get the information regarding the place you will be?
This function allows you to set the location to somewhere you want without by using GPS.
Then, Peoples in around area you chose be able to see you like you are near by them.


【OTHERS】
- Text Messaging/ Sharing GPS information and photos.
- Camouflage function which allows you to fake your location to other users to protect your privacy.
- Global user Search
- Area Search
- Near by Search
- Favorites list & Followers list
- See who's visited you
- Advanced Filter function
- Advanced Sorting function
・Public pictures
・Audition system

【Personal Information Privacy Policy】
The information regarding you and your location will be used only in application for sharing information between users.
It won't be used for other purposes without obtaining your consent.

【TERMS OF SERVICE】
https://ninemonsters.com/en/terms-of-service
",,Social,,,,,y,gay,
21,Adam4Adam - Gay Chat & Dating App - A4A - Radar,4.6.2.1,13003.0,"With 15 years in the dating industry, 10 million users, and being 100% FREE, it’s no wonder that Adam4dam - Radar - is the industry-leading gay social network. Whether you’re looking for a date, chat, friends, long term relationships, networking opportunities or casual fun, you’ll find it on Adam4Adam Radar. We’ve been part of our users’ lives for so long that they’ve even given us a nickname — A4A. What other app can say the same?
Browse. Chat. Meet. It is easy to meet guys on Adam4Adam and we redesigned our app to make it even better, faster, and easier to use. We’re the only app offering a full, FREE experience with tons of features that other apps charge for.

- Browse unlimited profiles in five different grids based on your location
- Browse users in other cities if you plan to travel
- View all users or only users that are online
- Use over 20 filters—age, body type, preferences, etc.—to find what you’re looking for
- Send unlimited photos within a conversation
- Send and receive unlimited messages
- Send saved phrases to speed things up
- Add users to your favorites and block others
- See who favorited you
- Send your location within a conversation
- Make the first move and send a smile to users that you appreciate
- Customize your profile to represent who you are
- Connect your social media with your profile
- Upload multiple photos in your profile
- Drag and drop your photos to sort them
- Hide your last visit to a profile
- Track who visited your profile
- Show your travel plans with the Plan-a-Trip feature

Adam4Adam is free to download and use. However, we also offer a VIP membership that offers these extra features:

- Turn off publicity
- Browse discreetly using the invisible mode
- Get listed in the Featured Members grid
- Keep unlimited conversation history
- Save up to 200 conversations
- Upload more photos in your profile
- Get unlimited favorites and blocks
- Get priority support and skip ahead of the queue

If you choose to purchase Adam4Adam VIP, payment will be charged to your account, and your account will be charged for renewal within 24-hours prior to the end of the current period. Auto-renewal may be turned off at any time by going to your settings after purchase. Current Adam4Adam VIP subscription price starts at $4.00 USD/week. Prices are in U.S. dollars, may vary in countries other than the U.S. and are subject to change without notice. No cancellation of the current subscription is allowed during the active subscription period.

You must be 18 years and older to use Adam4Adam Radar. Photos depicting nudity are strictly prohibited in the RADAR native app.",,Social,,,,,y,gay,
